"filename", "language", "Markdown", "YAML", "Dart", "Gradle", "Java Properties", "Swift", "XML", "C++", "JSON", "JavaScript", "CMake", "Java", "HTML", "comment", "blank", "total"
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/announcement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -3, -28
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/event.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, 0, -3, -55
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/task.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, -3, -40
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, -2, -20
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1306, 0, 0, 0, 0, 0, -1, -1307
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -1, -20
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/announcement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, -7, -53
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/event.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, -9, -95
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/task.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -124, 0, 0, 0, -5, -9, -138
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -4, -17, -57
"/Users/riyashah/Documents/flutter apps/EventQuest/test/widget_test.dart", "Dart", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -31
"/Users/riyashah/Documents/flutter apps/EventQuest/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38, -16, -6, -60
"/Users/riyashah/Documents/flutter apps/EventQuest/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, -1, -36
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -4, -5, -15
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5, -6, -16
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -6, -25
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, -7, -16, -72
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -5, -9, -34
